latitude,longitude,status,detected_at,source,copernicus_product_id,validation_status,notes
31.3328959893,32.4557442336,Oil spill,2019-02-21T15:56:37Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190221T155702_20190221T155727_026030_02E6CF_D766.SAFE;S1A_IW_GRDH_1SDV_20190221T155637_20190221T155702_026030_02E6CF_CB00.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.6159302558,31.8403258921,Oil spill,2019-02-21T15:56:37Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190221T155702_20190221T155727_026030_02E6CF_D766.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.8497973070,30.6329470218,Oil spill,2019-02-22T03:59:26Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190222T040016_20190222T040041_026037_02E70F_FF4E.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.5616541684,30.1285574025,Oil spill,2019-02-22T03:59:26Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190222T040041_20190222T040106_026037_02E70F_5AD5.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.4626884983,32.2073254700,Oil spill,2019-02-22T15:47:45Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190222T154810_20190222T154835_015061_01C24C_9BBE.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.4916149155,32.3182021479,Oil spill,2019-02-23T03:50:40Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190223T035130_20190223T035155_015068_01C287_0DC8.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.0612620587,34.5797047200,Oil spill,2019-02-24T03:42:57Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190224T034322_20190224T034347_026066_02E816_1321.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.8272989623,34.1026575885,Oil spill,2019-02-24T03:42:57Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190224T034347_20190224T034412_026066_02E816_11C9.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.4597350911,30.1134385800,Oil spill,2019-03-04T16:04:04Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190304T160429_20190304T160454_015207_01C72A_60D4.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.9432146133,30.3104238598,Oil spill,2019-03-05T15:56:37Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190305T155727_20190305T155752_026205_02ED1B_9DEA.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.5918595976,31.4269126982,Oil spill,2019-03-05T15:56:37Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190305T155702_20190305T155727_026205_02ED1B_0DF1.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.2385944950,31.5147551415,Oil spill,2019-03-05T15:56:37Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190305T155752_20190305T155817_026205_02ED1B_206C.SAFE;S1A_IW_GRDH_1SDV_20190305T155727_20190305T155752_026205_02ED1B_9DEA.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.4970761064,31.7070072632,Oil spill,2019-03-06T03:59:26Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190306T035951_20190306T040016_026212_02ED51_0951.SAFE;S1A_IW_GRDH_1SDV_20190306T035926_20190306T035951_026212_02ED51_1D32.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.5710220637,30.1381513603,Oil spill,2019-03-06T03:59:26Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190306T040041_20190306T040106_026212_02ED51_8E68.SAFE;S1A_IW_GRDH_1SDV_20190306T040016_20190306T040041_026212_02ED51_9536.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.3273256322,33.2760062354,Oil spill,2019-03-06T15:47:45Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE;S1B_IW_GRDH_1SDV_20190306T154745_20190306T154810_015236_01C814_B914.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.3612227043,32.6801984627,Oil spill,2019-03-06T15:47:45Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
